test_id,array_size,sort_method,timestamp
32,5,bucket_sort,0.0nS
32,5,radix_sort,377.0nS
33,5,bubble_sort,0.0nS
33,5,selection_sort,377.0nS
33,5,insertion_sort,0.0nS
33,5,merge_sort,377.0nS
33,5,quick_sort,378.0nS
33,5,count_sort,377.0nS
33,5,bucket_sort,0.0nS
33,5,radix_sort,0.0nS
34,5,bubble_sort,378.0nS
34,5,selection_sort,0.0nS
34,5,insertion_sort,0.0nS
34,5,merge_sort,378.0nS
34,5,quick_sort,378.0nS
34,5,count_sort,0.0nS
34,5,bucket_sort,378.0nS
34,5,radix_sort,0.0nS
35,5,bubble_sort,378.0nS
35,5,selection_sort,378.0nS
35,5,insertion_sort,378.0nS
35,5,merge_sort,0.0nS
35,5,quick_sort,377.0nS
35,5,count_sort,378.0nS
35,5,bucket_sort,0.0nS
35,5,radix_sort,0.0nS
36,5,bubble_sort,0.0nS
36,5,selection_sort,377.0nS
36,5,insertion_sort,378.0nS
36,5,merge_sort,0.0nS
36,5,quick_sort,0.0nS
36,5,count_sort,0.0nS
36,5,bucket_sort,378.0nS
36,5,radix_sort,0.0nS
37,5,bubble_sort,0.0nS
37,5,selection_sort,378.0nS
37,5,insertion_sort,754.0nS
37,5,merge_sort,377.0nS
37,5,quick_sort,378.0nS
37,5,count_sort,378.0nS
37,5,bucket_sort,0.0nS
37,5,radix_sort,378.0nS
38,5,bubble_sort,377.0nS
38,5,selection_sort,378.0nS
38,5,insertion_sort,755.0nS
38,5,merge_sort,378.0nS
38,5,quick_sort,378.0nS
38,5,count_sort,377.0nS
38,5,bucket_sort,377.0nS
38,5,radix_sort,377.0nS
39,5,bubble_sort,378.0nS
39,5,selection_sort,0.0nS
39,5,insertion_sort,377.0nS
39,5,merge_sort,378.0nS
39,5,quick_sort,0.0nS
39,5,count_sort,377.0nS
39,5,bucket_sort,378.0nS
39,5,radix_sort,0.0nS
40,5,bubble_sort,0.0nS
40,5,selection_sort,0.0nS
40,5,insertion_sort,0.0nS
40,5,merge_sort,0.0nS
40,5,quick_sort,0.0nS
40,5,count_sort,377.0nS
40,5,bucket_sort,0.0nS
40,5,radix_sort,0.0nS
41,5,bubble_sort,378.0nS
41,5,selection_sort,378.0nS
41,5,insertion_sort,377.0nS
41,5,merge_sort,378.0nS
41,5,quick_sort,377.0nS
41,5,count_sort,378.0nS
41,5,bucket_sort,378.0nS
41,5,radix_sort,377.0nS
42,5,bubble_sort,377.0nS
42,5,selection_sort,378.0nS
42,5,insertion_sort,378.0nS
42,5,merge_sort,378.0nS
42,5,quick_sort,378.0nS
42,5,count_sort,378.0nS
42,5,bucket_sort,378.0nS
42,5,radix_sort,0.0nS
43,5,bubble_sort,0.0nS
43,5,selection_sort,378.0nS
43,5,insertion_sort,378.0nS
43,5,merge_sort,378.0nS
43,5,quick_sort,378.0nS
43,5,count_sort,377.0nS
43,5,bucket_sort,0.0nS
43,5,radix_sort,378.0nS
44,5,bubble_sort,0.0nS
44,5,selection_sort,0.0nS
44,5,insertion_sort,0.0nS
44,5,merge_sort,0.0nS
44,5,quick_sort,0.0nS
44,5,count_sort,377.0nS
44,5,bucket_sort,377.0nS
44,5,radix_sort,0.0nS
45,5,bubble_sort,755.0nS
45,5,selection_sort,377.0nS
45,5,insertion_sort,378.0nS
45,5,merge_sort,377.0nS
45,5,quick_sort,0.0nS
45,5,count_sort,0.0nS
45,5,bucket_sort,0.0nS
45,5,radix_sort,0.0nS
46,5,bubble_sort,0.0nS
46,5,selection_sort,377.0nS
46,5,insertion_sort,0.0nS
46,5,merge_sort,378.0nS
46,5,quick_sort,378.0nS
46,5,count_sort,378.0nS
46,5,bucket_sort,377.0nS
46,5,radix_sort,377.0nS
